"Step","a3c_Qbert_runseed=0 - training/episode/reward","a3c_Qbert_runseed=0 - training/episode/reward__MIN","a3c_Qbert_runseed=0 - training/episode/reward__MAX"
"574304","200","200","200"
"575872","675","675","675"
"576256","175","175","175"
"576992","275","275","275"
"577120","300","300","300"
"577344","300","300","300"
"577760","675","675","675"
"578560","975","975","975"
"578880","625","625","625"
"578912","300","300","300"
"579136","125","125","125"
"579200","175","175","175"
"579968","225","225","225"
"580416","600","600","600"
"580896","550","550","550"
"581248","400","400","400"
"582016","425","425","425"
"582656","200","200","200"
"583584","600","600","600"
"583808","200","200","200"
"585728","300","300","300"
"587936","225","225","225"
"588096","225","225","225"
"588320","150","150","150"
"589536","150","150","150"
"590240","200","200","200"
"590720","750","750","750"
"590784","300","300","300"
"591168","300","300","300"
"591968","275","275","275"
"592352","225","225","225"
"592512","275","275","275"
"593632","50","50","50"
"594464","250","250","250"
"595072","225","225","225"
"596096","200","200","200"
"598592","200","200","200"
"599136","675","675","675"
"601152","500","500","500"
"601184","350","350","350"
"601344","150","150","150"
"603104","300","300","300"
"603616","400","400","400"
"603968","600","600","600"
"604000","375","375","375"
"604256","300","300","300"
"604352","250","250","250"
"605312","550","550","550"
"605376","200","200","200"
"607776","300","300","300"
"608288","275","275","275"
"609408","325","325","325"
"609792","175","175","175"
"610496","175","175","175"
"610816","75","75","75"
"611040","75","75","75"
"611168","175","175","175"
"613472","250","250","250"
"615680","175","175","175"
"615712","300","300","300"
"617280","650","650","650"
"617472","200","200","200"
"617664","150","150","150"
"619040","300","300","300"
"619200","625","625","625"
"619520","125","125","125"
"620448","175","175","175"
"620576","200","200","200"
"622592","225","225","225"
"624896","500","500","500"
"625056","325","325","325"
"625856","300","300","300"
"626080","200","200","200"
"627168","75","75","75"
"627872","225","225","225"
"628320","375","375","375"
"628896","125","125","125"
"629568","225","225","225"
"629696","175","175","175"
"630944","100","100","100"
"631712","475","475","475"
"632224","275","275","275"
"634176","175","175","175"
"634752","175","175","175"
"635232","200","200","200"
"636480","125","125","125"
"637184","250","250","250"
"638144","200","200","200"
"638880","275","275","275"
"639776","500","500","500"
"640128","250","250","250"
"641024","125","125","125"
"642304","350","350","350"
"643584","250","250","250"
"644256","275","275","275"
"644800","100","100","100"
"645536","275","275","275"
"645568","250","250","250"
"645728","300","300","300"
"646848","100","100","100"
"647040","400","400","400"
"647232","275","275","275"
"647456","225","225","225"
"648800","275","275","275"
"649600","225","225","225"
"654336","100","100","100"
"655648","575","575","575"
"656256","175","175","175"
"656672","250","250","250"
"657664","250","250","250"
"659456","250","250","250"
"660384","175","175","175"
"661440","325","325","325"
"663424","75","75","75"
"664064","25","25","25"
"665120","350","350","350"
"665184","525","525","525"
"665792","325","325","325"
"666656","250","250","250"
"667104","175","175","175"
"667232","250","250","250"
"668576","250","250","250"
"669120","275","275","275"
"669984","175","175","175"
"670464","225","225","225"
"671904","200","200","200"
"672992","400","400","400"
"674304","200","200","200"
"674432","575","575","575"
"674528","375","375","375"
"674880","275","275","275"
"674976","625","625","625"
"676160","675","675","675"
"677376","75","75","75"
"678464","225","225","225"
"678528","200","200","200"
"679040","300","300","300"
"679136","150","150","150"
"679456","175","175","175"
"679584","225","225","225"
"680704","250","250","250"
"680800","525","525","525"
"681760","400","400","400"
"682208","25","25","25"
"686560","525","525","525"
"686848","700","700","700"
"688224","0","0","0"
"688256","125","125","125"
"689024","300","300","300"
"689120","350","350","350"
"690048","250","250","250"
"690688","325","325","325"
"691008","225","225","225"
"691616","500","500","500"
"691712","150","150","150"
"692672","575","575","575"
"692800","225","225","225"
"693856","200","200","200"
"694912","175","175","175"
"697952","300","300","300"
"698688","175","175","175"
"698944","650","650","650"
"699136","400","400","400"
"699584","275","275","275"
"699680","425","425","425"
"700768","125","125","125"
"701696","150","150","150"
"704896","200","200","200"
"704928","550","550","550"
"705600","700","700","700"
"709024","225","225","225"
"710368","300","300","300"
"710624","225","225","225"
"711424","250","250","250"
"712256","275","275","275"
"712704","325","325","325"
"713024","675","675","675"
"713344","600","600","600"
"713504","150","150","150"
"714432","325","325","325"
"715360","675","675","675"
"716192","350","350","350"
"716288","125","125","125"
"718464","475","475","475"
"718688","600","600","600"
"718784","250","250","250"
"721952","350","350","350"
"722144","175","175","175"
"722752","200","200","200"
"723904","625","625","625"
"725600","225","225","225"
"725632","150","150","150"
"725952","275","275","275"
"729056","600","600","600"
"731104","250","250","250"
"731360","625","625","625"
"731552","225","225","225"
"733376","200","200","200"
"733696","275","275","275"
"734944","150","150","150"
"735008","275","275","275"
"735136","325","325","325"
"735264","250","250","250"
"735808","125","125","125"
"735936","550","550","550"
"736192","300","300","300"
"736448","450","450","450"
"740608","250","250","250"
"741248","650","650","650"
"742560","750","750","750"
"743264","325","325","325"
"744960","150","150","150"
"745536","125","125","125"
"746592","325","325","325"
"747264","375","375","375"
"748768","275","275","275"
"748864","325","325","325"
"749184","400","400","400"
"749216","325","325","325"
"750208","275","275","275"
"750592","125","125","125"
"750624","200","200","200"
"751136","550","550","550"
"751680","175","175","175"
"751712","250","250","250"
"753152","300","300","300"
"753216","225","225","225"
"754176","275","275","275"
"755360","175","175","175"
"757568","375","375","375"
"757728","225","225","225"
"759168","175","175","175"
"759424","300","300","300"
"761440","550","550","550"
"761568","250","250","250"
"762816","475","475","475"
"762976","350","350","350"
"763168","150","150","150"
"764480","400","400","400"
"764544","325","325","325"
"765728","75","75","75"
"765760","625","625","625"
"767712","400","400","400"
"767744","675","675","675"
"768064","100","100","100"
"768512","225","225","225"
"768640","275","275","275"
"769632","275","275","275"
"770208","150","150","150"
"770656","200","200","200"
"771424","425","425","425"
"771488","325","325","325"
"771776","150","150","150"
"772992","275","275","275"
"774304","350","350","350"
"775488","300","300","300"
"775744","500","500","500"
"775904","125","125","125"
"776512","400","400","400"
"776928","125","125","125"
"776992","150","150","150"
"778432","150","150","150"
"778656","225","225","225"
"778976","275","275","275"
"779392","225","225","225"
"779520","275","275","275"
"780128","300","300","300"
"780704","50","50","50"
"782528","200","200","200"
"782880","350","350","350"
"783552","225","225","225"
"786464","400","400","400"
"787328","550","550","550"
"787520","275","275","275"
"787712","275","275","275"
"787904","600","600","600"
"789088","225","225","225"
"789440","550","550","550"
"790272","325","325","325"
"790688","300","300","300"
"791136","250","250","250"
"791264","175","175","175"
"791776","600","600","600"
"792352","325","325","325"
"792480","600","600","600"
"793056","125","125","125"
"793536","375","375","375"
"795040","350","350","350"
"795072","725","725","725"
"796800","325","325","325"
"797504","125","125","125"
"798688","200","200","200"
"799392","300","300","300"
"800160","275","275","275"
"801088","350","350","350"
"801248","175","175","175"
"801504","375","375","375"
"802016","275","275","275"
"802688","325","325","325"
"804160","275","275","275"
"804768","625","625","625"
"805056","200","200","200"
"806528","300","300","300"
"807040","250","250","250"
"807520","325","325","325"
"807712","450","450","450"
"808352","575","575","575"
"810176","300","300","300"
"810976","275","275","275"
"812096","225","225","225"
"812448","175","175","175"
"812736","300","300","300"
"813856","250","250","250"
"814080","325","325","325"
"814432","275","275","275"
"814560","225","225","225"
"815072","325","325","325"
"817216","750","750","750"
"817696","350","350","350"
"817824","375","375","375"
"817888","250","250","250"
"818496","375","375","375"
"818944","100","100","100"
"821216","75","75","75"
"821280","175","175","175"
"823712","225","225","225"
"824192","175","175","175"
"824544","75","75","75"
"825600","300","300","300"
"826176","275","275","275"
"826816","675","675","675"
"827456","200","200","200"
"827488","550","550","550"
"827584","200","200","200"
"827648","50","50","50"
"829056","500","500","500"
"829568","500","500","500"
"829760","300","300","300"
"830016","650","650","650"
"831648","350","350","350"
"831808","125","125","125"
"831872","200","200","200"
"832128","350","350","350"
"832416","250","250","250"
"832576","325","325","325"
"833952","275","275","275"
"835456","175","175","175"
"835584","425","425","425"
"835776","200","200","200"
"836064","650","650","650"
"836672","375","375","375"
"836704","200","200","200"
"837504","275","275","275"
"837728","400","400","400"
"839200","225","225","225"
"840032","575","575","575"
"840704","675","675","675"
"841600","375","375","375"
"842304","525","525","525"
"844064","300","300","300"
"844288","200","200","200"
"845312","300","300","300"
"845440","525","525","525"
"846336","350","350","350"
"847296","225","225","225"
"847904","200","200","200"
"847968","300","300","300"
"848192","200","200","200"
"850144","225","225","225"
"850880","175","175","175"
"850944","600","600","600"
"853536","325","325","325"
"853888","275","275","275"
"854656","525","525","525"
"854912","700","700","700"
"856320","525","525","525"
"856800","125","125","125"
"856864","300","300","300"
"859552","250","250","250"
"860064","375","375","375"
"860096","225","225","225"
"860256","500","500","500"
"860768","250","250","250"
"861024","525","525","525"
"861248","175","175","175"
