"Step","a3c_Kangaroo_runseed=0 - training/episode/reward","a3c_Kangaroo_runseed=0 - training/episode/reward__MIN","a3c_Kangaroo_runseed=0 - training/episode/reward__MAX"
"568480","200","200","200"
"568992","0","0","0"
"569824","0","0","0"
"569888","0","0","0"
"569920","0","0","0"
"571200","0","0","0"
"571232","0","0","0"
"571840","0","0","0"
"572480","0","0","0"
"573536","0","0","0"
"573600","0","0","0"
"574560","0","0","0"
"574880","0","0","0"
"576224","0","0","0"
"576928","0","0","0"
"577312","200","200","200"
"578624","0","0","0"
"578976","200","200","200"
"579040","0","0","0"
"580896","0","0","0"
"583424","0","0","0"
"583488","0","0","0"
"583648","200","200","200"
"584352","0","0","0"
"586048","200","200","200"
"586240","0","0","0"
"586656","200","200","200"
"587872","0","0","0"
"588096","200","200","200"
"588160","0","0","0"
"588224","0","0","0"
"590272","200","200","200"
"591328","200","200","200"
"592608","0","0","0"
"592672","0","0","0"
"593952","200","200","200"
"595936","200","200","200"
"596096","200","200","200"
"596960","0","0","0"
"597824","0","0","0"
"599360","200","200","200"
"600128","0","0","0"
"601664","0","0","0"
"601952","0","0","0"
"601984","200","200","200"
"602208","0","0","0"
"602752","400","400","400"
"603200","0","0","0"
"603648","0","0","0"
"604960","0","0","0"
"606304","0","0","0"
"606784","0","0","0"
"607936","0","0","0"
"609184","0","0","0"
"609600","0","0","0"
"611328","0","0","0"
"611456","0","0","0"
"615136","0","0","0"
"615360","0","0","0"
"615392","400","400","400"
"615936","0","0","0"
"616608","200","200","200"
"616992","0","0","0"
"617920","0","0","0"
"619168","200","200","200"
"619232","0","0","0"
"619776","0","0","0"
"620320","200","200","200"
"620992","0","0","0"
"621152","200","200","200"
"621184","200","200","200"
"622272","200","200","200"
"622784","0","0","0"
"623296","0","0","0"
"623360","200","200","200"
"625184","0","0","0"
"625344","0","0","0"
"625568","400","400","400"
"625856","0","0","0"
"626208","200","200","200"
"626944","0","0","0"
"627040","200","200","200"
"627104","0","0","0"
"627936","0","0","0"
"628384","200","200","200"
"628672","0","0","0"
"628704","0","0","0"
"629728","0","0","0"
"630272","200","200","200"
"630784","0","0","0"
"631200","400","400","400"
"631264","200","200","200"
"633536","0","0","0"
"634400","0","0","0"
"635520","200","200","200"
"636192","200","200","200"
"636544","200","200","200"
"636864","0","0","0"
"636960","0","0","0"
"636992","0","0","0"
"637568","0","0","0"
"637664","0","0","0"
"637952","200","200","200"
"638304","0","0","0"
"640224","0","0","0"
"641024","0","0","0"
"641664","200","200","200"
"643232","200","200","200"
"643616","0","0","0"
"648800","200","200","200"
"650240","200","200","200"
"650912","0","0","0"
"651936","0","0","0"
"652384","200","200","200"
"653120","0","0","0"
"653312","0","0","0"
"653472","0","0","0"
"655712","200","200","200"
"656000","0","0","0"
"657088","0","0","0"
"657600","0","0","0"
"658336","400","400","400"
"658720","0","0","0"
"659264","0","0","0"
"659296","0","0","0"
"659968","0","0","0"
"660384","0","0","0"
"660672","0","0","0"
"660768","0","0","0"
"663168","0","0","0"
"663584","0","0","0"
"663968","0","0","0"
"664096","0","0","0"
"664832","0","0","0"
"665152","0","0","0"
"665216","200","200","200"
"665504","0","0","0"
"665568","0","0","0"
"668096","200","200","200"
"668736","0","0","0"
"671360","0","0","0"
"672832","0","0","0"
"673216","0","0","0"
"673792","0","0","0"
"674144","0","0","0"
"674464","400","400","400"
"674880","0","0","0"
"675008","0","0","0"
"675264","0","0","0"
"676288","0","0","0"
"676800","0","0","0"
"676896","200","200","200"
"677920","0","0","0"
"678272","0","0","0"
"678784","0","0","0"
"680352","0","0","0"
"680512","0","0","0"
"680608","200","200","200"
"682720","0","0","0"
"683584","0","0","0"
"684544","0","0","0"
"684864","0","0","0"
"685440","200","200","200"
"685472","0","0","0"
"685728","0","0","0"
"685856","0","0","0"
"686752","0","0","0"
"687040","0","0","0"
"687872","400","400","400"
"688384","200","200","200"
"689024","0","0","0"
"689248","200","200","200"
"690336","0","0","0"
"691520","200","200","200"
"691616","0","0","0"
"692448","200","200","200"
"693824","0","0","0"
"694400","200","200","200"
"695712","0","0","0"
"696224","0","0","0"
"696448","0","0","0"
"700064","0","0","0"
"700864","0","0","0"
"701344","0","0","0"
"702144","0","0","0"
"702400","0","0","0"
"702464","0","0","0"
"703008","0","0","0"
"703104","600","600","600"
"703776","0","0","0"
"705504","200","200","200"
"706400","0","0","0"
"707072","0","0","0"
"707680","0","0","0"
"708800","0","0","0"
"709440","200","200","200"
"709632","0","0","0"
"710784","200","200","200"
"711296","0","0","0"
"711616","0","0","0"
"712064","200","200","200"
"713024","0","0","0"
"714208","200","200","200"
"716704","0","0","0"
"717152","0","0","0"
"717408","0","0","0"
"717728","200","200","200"
"718080","0","0","0"
"718592","0","0","0"
"720608","0","0","0"
"721248","0","0","0"
"721824","200","200","200"
"722912","0","0","0"
"723328","0","0","0"
"723360","0","0","0"
"725344","0","0","0"
"725824","200","200","200"
"728416","0","0","0"
"729344","200","200","200"
"729504","0","0","0"
"730272","200","200","200"
"731328","0","0","0"
"732832","400","400","400"
"735232","0","0","0"
"735360","400","400","400"
"736736","0","0","0"
"737952","0","0","0"
"738944","0","0","0"
"739264","0","0","0"
"739968","200","200","200"
"740000","200","200","200"
"740480","0","0","0"
"740544","0","0","0"
"740640","0","0","0"
"741344","0","0","0"
"744096","0","0","0"
"744896","0","0","0"
"745120","200","200","200"
"746784","400","400","400"
"748384","0","0","0"
"748416","0","0","0"
"749056","0","0","0"
"749728","0","0","0"
"749888","0","0","0"
"750048","0","0","0"
"750304","0","0","0"
"750368","0","0","0"
"750816","200","200","200"
"751776","0","0","0"
"753536","0","0","0"
"753952","0","0","0"
"754496","0","0","0"
"754720","200","200","200"
"755328","0","0","0"
"755712","0","0","0"
"757856","0","0","0"
"758272","400","400","400"
"759840","0","0","0"
"760032","0","0","0"
"760832","0","0","0"
"761376","0","0","0"
"762592","0","0","0"
"763232","0","0","0"
"763968","0","0","0"
"764416","0","0","0"
"764672","0","0","0"
"765472","0","0","0"
"765536","0","0","0"
"765856","0","0","0"
"767136","200","200","200"
"767360","200","200","200"
