"Step","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MAX"
"2150048","","","","","","","0.98828125","0.98828125","0.98828125"
"2162944","0.98828125","0.98828125","0.98828125","","","","","",""
"2162976","","","","0.12890625","0.12890625","0.12890625","","",""
"2163136","","","","","","","1","1","1"
"2175264","","","","","","","1","1","1"
"2175712","","","","0.099609375","0.099609375","0.099609375","","",""
"2175776","1","1","1","","","","","",""
"2187712","","","","0.111328125","0.111328125","0.111328125","","",""
"2187776","1","1","1","","","","","",""
"2188320","","","","","","","1","1","1"
"2200320","","","","","","","1","1","1"
"2200864","","","","0.1015625","0.1015625","0.1015625","","",""
"2201376","1","1","1","","","","","",""
"2212768","1","1","1","","","","","",""
"2213536","","","","0.09375","0.09375","0.09375","","",""
"2214208","","","","","","","0.994140625","0.994140625","0.994140625"
"2224000","1","1","1","","","","","",""
"2226048","","","","","","","1","1","1"
"2227008","","","","0.080078125","0.080078125","0.080078125","","",""
"2239424","0.994140625","0.994140625","0.994140625","","","","","",""
"2239744","","","","","","","0.98828125","0.98828125","0.98828125"
"2239776","","","","0.0625","0.0625","0.0625","","",""
"2251776","1","1","1","","","","","",""
"2252000","","","","","","","1","1","1"
"2252320","","","","0.0625","0.0625","0.0625","","",""
"2265120","","","","","","","1","1","1"
"2265280","1","1","1","","","","","",""
"2265472","","","","0.0625","0.0625","0.0625","","",""
