"Step","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"1535936","0","0","0","","","","","",""
"1547168","0","0","0","","","","","",""
"1548032","","","","","","","0","0","0"
"1548192","","","","0","0","0","","",""
"1561312","","","","","","","0","0","0"
"1561376","0","0","0","","","","","",""
"1561536","","","","0","0","0","","",""
"1573920","0","0","0","","","","","",""
"1574176","","","","0","0","0","","",""
"1574368","","","","","","","0","0","0"
"1586720","0","0","0","","","","","",""
"1586912","","","","","","","0","0","0"
"1587104","","","","0","0","0","","",""
"1599680","","","","0","0","0","","",""
"1599744","0","0","0","","","","","",""
"1599968","","","","","","","0","0","0"
"1612192","","","","0.005859375","0.005859375","0.005859375","","",""
"1612704","","","","","","","0","0","0"
"1612768","0","0","0","","","","","",""
"1624704","","","","0","0","0","","",""
"1625472","0","0","0","","","","0","0","0"
"1637536","","","","0","0","0","","",""
"1638112","","","","","","","0","0","0"
"1638144","0","0","0","","","","","",""
"1650144","","","","","","","0","0","0"
"1651072","","","","0","0","0","","",""
"1651168","0","0","0","","","","","",""
"1663232","","","","","","","0","0","0"
"1663328","","","","0","0","0","","",""
"1663872","0","0","0","","","","","",""
"1676192","0","0","0","","","","","",""
"1676416","","","","0","0","0","","",""
"1676576","","","","","","","0","0","0"
"1689312","","","","","","","0","0","0"
"1689440","0","0","0","","","","","",""
"1689568","","","","0","0","0","","",""
"1702176","","","","","","","0","0","0"
"1702272","","","","0.005859375","0.005859375","0.005859375","","",""
"1702304","0","0","0","","","","","",""
"1714944","","","","","","","0","0","0"
"1715104","0","0","0","","","","","",""
"1715136","","","","0","0","0","","",""
"1727104","0","0","0","","","","","",""
"1727360","","","","0","0","0","","",""
"1727776","","","","","","","0","0","0"
"1740384","","","","","","","0","0","0"
"1740672","","","","0.005859375","0.005859375","0.005859375","","",""
"1740768","0","0","0","","","","","",""
"1753184","","","","0","0","0","","",""
"1753280","","","","","","","0","0","0"
"1753344","0","0","0","","","","","",""
"1764512","","","","0","0","0","","",""
"1766304","0","0","0","","","","","",""
"1766336","","","","","","","0","0","0"
"1778016","0","0","0","","","","","",""
"1778720","","","","0.005859375","0.005859375","0.005859375","","",""
"1779104","","","","","","","0","0","0"
"1791424","0","0","0","","","","","",""
"1791616","","","","","","","0","0","0"
"1791840","","","","0","0","0","","",""
"1803648","","","","","","","0","0","0"
"1804224","","","","0.005859375","0.005859375","0.005859375","","",""
"1804608","0","0","0","","","","","",""
"1816608","0","0","0","","","","","",""
"1816672","","","","0","0","0","","",""
"1816704","","","","","","","0","0","0"
"1829760","0","0","0","","","","","",""
"1830176","","","","0","0","0","","",""
"1830336","","","","","","","0","0","0"
"1842368","","","","0.01171875","0.01171875","0.01171875","","",""
"1842976","0","0","0","","","","0","0","0"
"1855552","0","0","0","","","","","",""
"1855776","","","","","","","0","0","0"
"1855840","","","","0","0","0","","",""
"1868608","0","0","0","","","","","",""
"1868704","","","","","","","0","0","0"
"1868736","","","","0.005859375","0.005859375","0.005859375","","",""
"1880768","","","","0","0","0","","",""
"1881376","0","0","0","","","","","",""
"1881440","","","","","","","0","0","0"
"1893920","","","","","","","0","0","0"
"1893952","0","0","0","","","","","",""
"1894176","","","","0","0","0","","",""
"1906528","0","0","0","","","","","",""
"1906848","","","","","","","0","0","0"
"1907168","","","","0","0","0","","",""
"1919328","","","","0","0","0","","",""
"1919904","0","0","0","","","","0","0","0"
"1932384","","","","0","0","0","","",""
"1932416","0","0","0","","","","","",""
"1932768","","","","","","","0","0","0"
"1945056","","","","0","0","0","","",""
"1945184","0","0","0","","","","","",""
"1945344","","","","","","","0","0","0"
"1958048","","","","0","0","0","","",""
"1958304","0","0","0","","","","","",""
"1958368","","","","","","","0","0","0"
"1970784","","","","0","0","0","","",""
"1971104","","","","","","","0","0","0"
"1971136","0","0","0","","","","","",""
"1983712","","","","0.005859375","0.005859375","0.005859375","","",""
"1983776","","","","","","","0","0","0"
"1983904","0","0","0","","","","","",""
"1995168","","","","","","","0","0","0"
"1996128","","","","0","0","0","","",""
"1996480","0","0","0","","","","","",""
"2009568","0","0","0","0","0","0","0","0","0"
"2021824","","","","0","0","0","0","0","0"
