"Step","a3c_Frostbite_runseed=0 - training/episode/reward","a3c_Frostbite_runseed=0 - training/episode/reward__MIN","a3c_Frostbite_runseed=0 - training/episode/reward__MAX"
"731616","230","230","230"
"733216","220","220","220"
"733760","220","220","220"
"734176","190","190","190"
"734752","230","230","230"
"735328","170","170","170"
"735520","200","200","200"
"735552","230","230","230"
"735744","180","180","180"
"736480","210","210","210"
"737824","200","200","200"
"738112","200","200","200"
"738656","180","180","180"
"739040","140","140","140"
"740480","180","180","180"
"741952","140","140","140"
"744512","210","210","210"
"744832","210","210","210"
"744992","190","190","190"
"745600","210","210","210"
"748640","160","160","160"
"749056","210","210","210"
"749216","200","200","200"
"750144","190","190","190"
"750176","190","190","190"
"750560","220","220","220"
"751200","150","150","150"
"751680","300","300","300"
"752416","220","220","220"
"753120","200","200","200"
"754400","130","130","130"
"754592","220","220","220"
"755424","210","210","210"
"756032","160","160","160"
"757408","200","200","200"
"757632","170","170","170"
"758208","190","190","190"
"759520","220","220","220"
"759584","230","230","230"
"760480","230","230","230"
"762304","170","170","170"
"763584","190","190","190"
"764416","160","160","160"
"764544","170","170","170"
"765344","220","220","220"
"765408","220","220","220"
"765824","220","220","220"
"766208","170","170","170"
"767552","270","270","270"
"769408","240","240","240"
"769728","220","220","220"
"774112","190","190","190"
"775008","240","240","240"
"777536","220","220","220"
"777792","170","170","170"
"777952","220","220","220"
"778848","250","250","250"
"778912","220","220","220"
"779776","230","230","230"
"779968","150","150","150"
"780096","210","210","210"
"780160","160","160","160"
"780544","220","220","220"
"780864","210","210","210"
"781024","200","200","200"
"781152","190","190","190"
"782560","240","240","240"
"783040","200","200","200"
"783328","230","230","230"
"783744","220","220","220"
"785344","200","200","200"
"787872","210","210","210"
"788896","220","220","220"
"789216","230","230","230"
"790752","180","180","180"
"790816","180","180","180"
"792448","250","250","250"
"794176","190","190","190"
"794432","170","170","170"
"794464","210","210","210"
"795008","180","180","180"
"796608","190","190","190"
"796672","230","230","230"
"798496","170","170","170"
"799008","230","230","230"
"801920","220","220","220"
"802048","230","230","230"
"802080","190","190","190"
"802496","220","220","220"
"804768","190","190","190"
"805056","200","200","200"
"805184","240","240","240"
"806176","170","170","170"
"807264","220","220","220"
"808256","170","170","170"
"809408","210","210","210"
"810112","200","200","200"
"810400","240","240","240"
"811168","230","230","230"
"811744","250","250","250"
"811872","140","140","140"
"812608","190","190","190"
"812704","240","240","240"
"812864","230","230","230"
"814176","150","150","150"
"814208","190","190","190"
"814496","220","220","220"
"814848","210","210","210"
"815680","220","220","220"
"815840","160","160","160"
"816384","220","220","220"
"816832","110","110","110"
"818080","210","210","210"
"819520","210","210","210"
"821760","220","220","220"
"822016","170","170","170"
"822112","190","190","190"
"822176","240","240","240"
"822592","170","170","170"
"825536","130","130","130"
"826016","210","210","210"
"826976","180","180","180"
"828864","180","180","180"
"829728","200","200","200"
"830304","190","190","190"
"830880","200","200","200"
"830976","170","170","170"
"831488","230","230","230"
"833120","220","220","220"
"833344","210","210","210"
"834912","180","180","180"
"835456","190","190","190"
"836288","200","200","200"
"836768","200","200","200"
"836992","210","210","210"
"837280","120","120","120"
"837728","200","200","200"
"837760","230","230","230"
"838976","140","140","140"
"839712","240","240","240"
"841248","230","230","230"
"841952","200","200","200"
"842560","210","210","210"
"848512","220","220","220"
"848832","250","250","250"
"849280","210","210","210"
"849440","120","120","120"
"851136","170","170","170"
"851616","200","200","200"
"851968","130","130","130"
"852736","230","230","230"
"853184","250","250","250"
"853600","250","250","250"
"856032","230","230","230"
"856192","240","240","240"
"856768","190","190","190"
"858464","250","250","250"
"858848","200","200","200"
"859840","240","240","240"
"861120","230","230","230"
"863456","170","170","170"
"865280","190","190","190"
"865696","170","170","170"
"866464","240","240","240"
"866816","210","210","210"
"866848","210","210","210"
"867392","200","200","200"
"867424","190","190","190"
"868000","220","220","220"
"868832","200","200","200"
"868960","200","200","200"
"869312","240","240","240"
"870560","210","210","210"
"871072","200","200","200"
"872160","220","220","220"
"872416","230","230","230"
"873408","210","210","210"
"874176","120","120","120"
"875008","170","170","170"
"876544","200","200","200"
"878496","60","60","60"
"881216","220","220","220"
"881408","220","220","220"
"881568","230","230","230"
"882848","210","210","210"
"882976","160","160","160"
"884576","140","140","140"
"884640","200","200","200"
"887936","230","230","230"
"888608","210","210","210"
"888800","230","230","230"
"889536","230","230","230"
