"Step","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MAX"
"1676512","","","","1","1","1","","",""
"1676640","","","","","","","0","0","0"
"1676736","0.005859375","0.005859375","0.005859375","","","","","",""
"1689280","","","","","","","0","0","0"
"1689312","","","","0.994140625","0.994140625","0.994140625","","",""
"1689344","0.005859375","0.005859375","0.005859375","","","","","",""
"1702208","0","0","0","","","","","",""
"1702272","","","","1","1","1","0","0","0"
"1714208","0.00390625","0.00390625","0.00390625","","","","","",""
"1714784","","","","1","1","1","","",""
"1715008","","","","","","","0","0","0"
"1726976","","","","","","","0","0","0"
"1727776","","","","1","1","1","","",""
"1727936","0.001953125","0.001953125","0.001953125","","","","","",""
"1740576","","","","1","1","1","","",""
"1740736","0.001953125","0.001953125","0.001953125","","","","","",""
"1740768","","","","","","","0","0","0"
"1752384","","","","1","1","1","","",""
"1753408","","","","","","","0","0","0"
"1753440","0.009765625","0.009765625","0.009765625","","","","","",""
"1765120","","","","0.98828125","0.98828125","0.98828125","","",""
"1765536","0.0234375","0.0234375","0.0234375","","","","","",""
"1766304","","","","","","","0","0","0"
"1777760","","","","1","1","1","","",""
"1778272","","","","","","","0","0","0"
"1778912","0.0234375","0.0234375","0.0234375","","","","","",""
"1791136","0.01171875","0.01171875","0.01171875","","","","","",""
"1791328","","","","","","","0","0","0"
"1791360","","","","1","1","1","","",""
"1804032","","","","","","","0","0","0"
"1804544","0.0234375","0.0234375","0.0234375","","","","","",""
"1804736","","","","1","1","1","","",""
"1817376","","","","1","1","1","","",""
"1817504","","","","","","","0","0","0"
"1817536","0.025390625","0.025390625","0.025390625","","","","","",""
"1829248","","","","1","1","1","","",""
"1829760","0.01953125","0.01953125","0.01953125","","","","","",""
"1830208","","","","","","","0","0","0"
"1842176","","","","","","","0","0","0"
"1842816","0.013671875","0.013671875","0.013671875","","","","","",""
"1843136","","","","0.98828125","0.98828125","0.98828125","","",""
"1855808","","","","1","1","1","","",""
"1855936","","","","","","","0","0","0"
"1855968","0.005859375","0.005859375","0.005859375","","","","","",""
"1867424","0.015625","0.015625","0.015625","","","","","",""
"1867648","","","","","","","0","0","0"
"1868544","","","","0.994140625","0.994140625","0.994140625","","",""
"1880608","","","","0.994140625","0.994140625","0.994140625","","",""
"1881312","0.0078125","0.0078125","0.0078125","","","","","",""
"1881504","","","","","","","0","0","0"
"1893632","","","","","","","0","0","0"
"1894080","0.005859375","0.005859375","0.005859375","","","","","",""
"1894304","","","","1","1","1","","",""
"1906688","","","","0.994140625","0.994140625","0.994140625","","",""
"1906880","","","","","","","0","0","0"
"1906944","0.005859375","0.005859375","0.005859375","","","","","",""
"1918880","","","","1","1","1","","",""
"1919680","0","0","0","","","","","",""
"1919776","","","","","","","0","0","0"
"1931712","0","0","0","","","","","",""
"1932128","","","","","","","0","0","0"
"1932672","","","","1","1","1","","",""
"1945024","","","","1","1","1","","",""
"1945312","0","0","0","","","","","",""
"1945472","","","","","","","0","0","0"
"1958176","","","","1","1","1","0","0","0"
"1958208","0","0","0","","","","","",""
"1971104","","","","1","1","1","","",""
"1971136","0","0","0","","","","0","0","0"
"1982944","0.005859375","0.005859375","0.005859375","","","","","",""
"1983264","","","","","","","0","0","0"
"1983584","","","","1","1","1","","",""
"1995936","0","0","0","","","","","",""
"1996032","","","","","","","0","0","0"
"1996736","","","","0.994140625","0.994140625","0.994140625","","",""
"2008608","","","","","","","0","0","0"
"2009216","","","","1","1","1","","",""
"2009376","0","0","0","","","","","",""
"2021536","","","","1","1","1","","",""
"2022240","","","","","","","0","0","0"
"2022272","0.005859375","0.005859375","0.005859375","","","","","",""
"2034912","","","","","","","0","0","0"
"2034976","0.005859375","0.005859375","0.005859375","","","","","",""
"2035072","","","","0.994140625","0.994140625","0.994140625","","",""
"2045120","","","","1","1","1","","",""
"2046816","0.04296875","0.04296875","0.04296875","","","","","",""
"2047584","","","","","","","0","0","0"
"2060160","","","","","","","0","0","0"
"2060320","","","","0.994140625","0.994140625","0.994140625","","",""
"2060704","0.03125","0.03125","0.03125","","","","","",""
"2072800","0.0546875","0.0546875","0.0546875","","","","","",""
"2073120","","","","1","1","1","","",""
"2073344","","","","","","","0","0","0"
"2086208","0.046875","0.046875","0.046875","","","","","",""
"2086240","","","","1","1","1","","",""
"2086368","","","","","","","0","0","0"
"2098656","","","","1","1","1","","",""
"2099008","","","","","","","0","0","0"
"2099136","0.076171875","0.076171875","0.076171875","","","","","",""
"2111488","0.076171875","0.076171875","0.076171875","","","","","",""
"2111712","","","","","","","0.005859375","0.005859375","0.005859375"
"2111840","","","","0.994140625","0.994140625","0.994140625","","",""
"2124608","","","","1","1","1","","",""
"2124672","0.087890625","0.087890625","0.087890625","","","","","",""
"2124736","","","","","","","0","0","0"
"2136352","","","","0.994140625","0.994140625","0.994140625","","",""
"2137536","","","","","","","0","0","0"
"2137568","0.087890625","0.087890625","0.087890625","","","","","",""
"2150016","","","","","","","0.005859375","0.005859375","0.005859375"
"2150048","0.111328125","0.111328125","0.111328125","","","","","",""
"2150272","","","","0.98828125","0.98828125","0.98828125","","",""
"2162368","","","","","","","0.0078125","0.0078125","0.0078125"
"2162560","","","","1","1","1","","",""
"2163104","0.12890625","0.12890625","0.12890625","","","","","",""
"2174560","","","","0.994140625","0.994140625","0.994140625","","",""
"2175424","","","","","","","0.00390625","0.00390625","0.00390625"
"2175712","0.14453125","0.14453125","0.14453125","","","","","",""
"2188448","0.154296875","0.154296875","0.154296875","","","","","",""
"2188704","","","","","","","0.01171875","0.01171875","0.01171875"
"2188736","","","","1","1","1","","",""
"2200352","0.15625","0.15625","0.15625","","","","","",""
"2200448","","","","1","1","1","","",""
"2201184","","","","","","","0","0","0"
"2213984","0.15625","0.15625","0.15625","","","","","",""
"2214144","","","","","","","0","0","0"
